_IM_PROGRAM_GRAPH_NODE,_IM_PRIMITIVE_ARC,_IM_SOURCE_PRIMITIVE_ARC,_IM_TARGET_PRIMITIVE_ARC,_IM_DISTANCE_BEGIN_MIN,_IM_DISTANCE_BEGIN_MAX,_IM_DISTANCE_BEGIN_AVG,_IM_DISTANCE_END_MIN,_IM_DISTANCE_END_MAX,_IM_DISTANCE_END_AVG,_IM_EQUIVALENT,_IM_MINIMAL
9,1,1,0,3,3,3.0,4,7,6.0,0,0
9,1,1,0,3,3,3.0,4,7,6.0,1,0
9,1,1,0,3,3,3.0,4,7,6.0,0,0
9,1,1,0,3,3,3.0,4,7,6.0,0,0
9,1,1,0,3,3,3.0,4,7,6.0,0,0
13,1,1,0,5,5,5.0,2,5,3.5,0,0
13,1,1,0,5,5,5.0,2,5,3.5,1,0
13,1,1,0,5,5,5.0,2,5,3.5,0,0
13,1,1,0,5,5,5.0,2,5,3.5,0,0
13,1,1,0,5,5,5.0,2,5,3.5,0,0
2,0,0,0,1,1,1.0,3,10,7.333333333333333,0,0
2,0,0,0,1,1,1.0,3,10,7.333333333333333,0,0
2,0,0,0,1,1,1.0,3,10,7.333333333333333,1,0
4,1,1,0,2,2,2.0,2,9,5.666666666666667,0,0
4,1,1,0,2,2,2.0,2,9,5.666666666666667,0,0
4,1,1,0,2,2,2.0,2,9,5.666666666666667,0,0
4,1,1,0,2,2,2.0,2,9,5.666666666666667,0,0
4,1,1,0,2,2,2.0,2,9,5.666666666666667,0,0
4,1,1,0,2,2,2.0,2,9,5.666666666666667,0,0
9,1,1,0,3,3,3.0,4,7,6.0,0,0
9,1,1,0,3,3,3.0,4,7,6.0,0,0
9,1,1,0,3,3,3.0,4,7,6.0,1,0
13,1,1,0,5,5,5.0,2,5,3.5,0,0
13,1,1,0,5,5,5.0,2,5,3.5,0,0
13,1,1,0,5,5,5.0,2,5,3.5,1,0
2,0,0,0,1,1,1.0,3,10,7.333333333333333,0,0
2,0,0,0,1,1,1.0,3,10,7.333333333333333,0,0
4,1,1,0,2,2,2.0,2,9,5.666666666666667,0,0
4,1,1,0,2,2,2.0,2,9,5.666666666666667,0,0
4,1,1,0,2,2,2.0,2,9,5.666666666666667,0,0
4,1,1,0,2,2,2.0,2,9,5.666666666666667,0,0
9,1,1,0,3,3,3.0,4,7,6.0,0,0
9,1,1,0,3,3,3.0,4,7,6.0,0,0
13,1,1,0,5,5,5.0,2,5,3.5,0,0
13,1,1,0,5,5,5.0,2,5,3.5,0,0
2,0,0,0,1,1,1.0,3,10,7.333333333333333,0,0
2,0,0,0,1,1,1.0,3,10,7.333333333333333,0,0
2,0,0,0,1,1,1.0,3,10,7.333333333333333,0,0
2,0,0,0,1,1,1.0,3,10,7.333333333333333,0,0
2,0,0,0,1,1,1.0,3,10,7.333333333333333,1,0
4,1,1,0,2,2,2.0,2,9,5.666666666666667,0,0
4,1,1,0,2,2,2.0,2,9,5.666666666666667,0,0
4,1,1,0,2,2,2.0,2,9,5.666666666666667,0,0
4,1,1,0,2,2,2.0,2,9,5.666666666666667,0,0
4,1,1,0,2,2,2.0,2,9,5.666666666666667,0,0
4,1,1,0,2,2,2.0,2,9,5.666666666666667,0,0
4,1,1,0,2,2,2.0,2,9,5.666666666666667,0,1
4,1,1,0,2,2,2.0,2,9,5.666666666666667,0,0
4,1,1,0,2,2,2.0,2,9,5.666666666666667,0,0
4,1,1,0,2,2,2.0,2,9,5.666666666666667,0,0
9,1,1,0,3,3,3.0,4,7,6.0,0,0
9,1,1,0,3,3,3.0,4,7,6.0,0,0
9,1,1,0,3,3,3.0,4,7,6.0,0,0
9,1,1,0,3,3,3.0,4,7,6.0,0,0
9,1,1,0,3,3,3.0,4,7,6.0,1,0
13,1,1,0,5,5,5.0,2,5,3.5,0,0
13,1,1,0,5,5,5.0,2,5,3.5,0,0
13,1,1,0,5,5,5.0,2,5,3.5,0,0
13,1,1,0,5,5,5.0,2,5,3.5,0,0
13,1,1,0,5,5,5.0,2,5,3.5,1,0
2,0,0,0,1,1,1.0,3,10,7.333333333333333,0,0
2,0,0,0,1,1,1.0,3,10,7.333333333333333,0,0
4,1,1,0,2,2,2.0,2,9,5.666666666666667,0,0
4,1,1,0,2,2,2.0,2,9,5.666666666666667,0,0
4,1,1,0,2,2,2.0,2,9,5.666666666666667,0,0
4,1,1,0,2,2,2.0,2,9,5.666666666666667,0,0
9,1,1,0,3,3,3.0,4,7,6.0,0,0
9,1,1,0,3,3,3.0,4,7,6.0,0,0
13,1,1,0,5,5,5.0,2,5,3.5,0,0
13,1,1,0,5,5,5.0,2,5,3.5,0,0
8,0,0,0,2,2,2.0,5,8,7.0,0,0
12,0,0,0,4,4,4.0,3,6,4.5,0,0
16,0,0,0,6,6,6.0,1,1,1.0,0,0
8,0,0,0,2,2,2.0,5,8,7.0,0,0
12,0,0,0,4,4,4.0,3,6,4.5,0,0
16,0,0,0,6,6,6.0,1,1,1.0,0,0
7,1,0,1,3,3,3.0,5,8,6.5,0,1
5,1,0,1,3,3,3.0,1,1,1.0,0,0
5,1,0,1,3,3,3.0,1,1,1.0,0,0
4,1,1,0,2,2,2.0,2,9,5.666666666666667,0,0
7,1,0,1,3,3,3.0,5,8,6.5,0,0
4,1,1,0,2,2,2.0,2,9,5.666666666666667,0,0
1,1,1,1,0,0,0.0,4,11,8.333333333333334,0,0
11,1,0,1,4,4,4.0,6,6,6.0,0,0
8,0,0,0,2,2,2.0,5,8,7.0,0,0
15,1,0,1,6,6,6.0,4,4,4.0,0,0
12,0,0,0,4,4,4.0,3,6,4.5,0,0
16,0,0,0,6,6,6.0,1,1,1.0,0,0
1,1,1,1,0,0,0.0,4,11,8.333333333333334,0,0
5,1,0,1,3,3,3.0,1,1,1.0,0,0
5,1,0,1,3,3,3.0,1,1,1.0,0,0
5,1,0,1,3,3,3.0,1,1,1.0,0,0
4,1,1,0,2,2,2.0,2,9,5.666666666666667,0,0
7,1,0,1,3,3,3.0,5,8,6.5,0,1
4,1,1,0,2,2,2.0,2,9,5.666666666666667,0,0
1,1,1,1,0,0,0.0,4,11,8.333333333333334,0,0
11,1,0,1,4,4,4.0,6,6,6.0,0,0
8,0,0,0,2,2,2.0,5,8,7.0,0,0
15,1,0,1,6,6,6.0,4,4,4.0,0,0
12,0,0,0,4,4,4.0,3,6,4.5,0,0
16,0,0,0,6,6,6.0,1,1,1.0,0,0
1,1,1,1,0,0,0.0,4,11,8.333333333333334,0,0
4,1,1,0,2,2,2.0,2,9,5.666666666666667,0,0
4,1,1,0,2,2,2.0,2,9,5.666666666666667,0,0
5,1,0,1,3,3,3.0,1,1,1.0,0,0
5,1,0,1,3,3,3.0,1,1,1.0,0,0
5,1,0,1,3,3,3.0,1,1,1.0,0,0
4,1,1,0,2,2,2.0,2,9,5.666666666666667,0,0
7,1,0,1,3,3,3.0,5,8,6.5,0,0
4,1,1,0,2,2,2.0,2,9,5.666666666666667,0,0
1,1,1,1,0,0,0.0,4,11,8.333333333333334,0,0
11,1,0,1,4,4,4.0,6,6,6.0,0,0
8,0,0,0,2,2,2.0,5,8,7.0,0,0
15,1,0,1,6,6,6.0,4,4,4.0,0,0
12,0,0,0,4,4,4.0,3,6,4.5,0,0
16,0,0,0,6,6,6.0,1,1,1.0,0,0
1,1,1,1,0,0,0.0,4,11,8.333333333333334,0,0
2,0,0,0,1,1,1.0,3,10,7.333333333333333,0,0
2,0,0,0,1,1,1.0,3,10,7.333333333333333,1,0
2,0,0,0,1,1,1.0,3,10,7.333333333333333,0,0
2,0,0,0,1,1,1.0,3,10,7.333333333333333,0,0
2,0,0,0,1,1,1.0,3,10,7.333333333333333,1,0
2,0,0,0,1,1,1.0,3,10,7.333333333333333,0,1
4,1,1,0,2,2,2.0,2,9,5.666666666666667,0,0
4,1,1,0,2,2,2.0,2,9,5.666666666666667,1,0
4,1,1,0,2,2,2.0,2,9,5.666666666666667,0,0
4,1,1,0,2,2,2.0,2,9,5.666666666666667,0,0
4,1,1,0,2,2,2.0,2,9,5.666666666666667,0,0
4,1,1,0,2,2,2.0,2,9,5.666666666666667,0,0
4,1,1,0,2,2,2.0,2,9,5.666666666666667,0,0
4,1,1,0,2,2,2.0,2,9,5.666666666666667,1,0
4,1,1,0,2,2,2.0,2,9,5.666666666666667,0,0
4,1,1,0,2,2,2.0,2,9,5.666666666666667,0,0
4,1,1,0,2,2,2.0,2,9,5.666666666666667,1,0
4,1,1,0,2,2,2.0,2,9,5.666666666666667,0,0
4,1,1,0,2,2,2.0,2,9,5.666666666666667,0,0
4,1,1,0,2,2,2.0,2,9,5.666666666666667,1,0
4,1,1,0,2,2,2.0,2,9,5.666666666666667,1,0
4,1,1,0,2,2,2.0,2,9,5.666666666666667,0,0
4,1,1,0,2,2,2.0,2,9,5.666666666666667,1,0
4,1,1,0,2,2,2.0,2,9,5.666666666666667,0,0
4,1,1,0,2,2,2.0,2,9,5.666666666666667,0,0
4,1,1,0,2,2,2.0,2,9,5.666666666666667,1,0
4,1,1,0,2,2,2.0,2,9,5.666666666666667,0,0
4,1,1,0,2,2,2.0,2,9,5.666666666666667,0,1
4,1,1,0,2,2,2.0,2,9,5.666666666666667,1,0
4,1,1,0,2,2,2.0,2,9,5.666666666666667,0,0
7,1,0,1,3,3,3.0,5,8,6.5,0,0
7,1,0,1,3,3,3.0,5,8,6.5,1,0
7,1,0,1,3,3,3.0,5,8,6.5,0,0
7,1,0,1,3,3,3.0,5,8,6.5,0,0
7,1,0,1,3,3,3.0,5,8,6.5,1,0
7,1,0,1,3,3,3.0,5,8,6.5,0,0
9,1,1,0,3,3,3.0,4,7,6.0,0,0
9,1,1,0,3,3,3.0,4,7,6.0,1,0
9,1,1,0,3,3,3.0,4,7,6.0,0,0
9,1,1,0,3,3,3.0,4,7,6.0,0,0
9,1,1,0,3,3,3.0,4,7,6.0,1,0
9,1,1,0,3,3,3.0,4,7,6.0,0,1
11,1,0,1,4,4,4.0,6,6,6.0,0,0
11,1,0,1,4,4,4.0,6,6,6.0,1,0
11,1,0,1,4,4,4.0,6,6,6.0,0,0
11,1,0,1,4,4,4.0,6,6,6.0,0,0
11,1,0,1,4,4,4.0,6,6,6.0,1,0
11,1,0,1,4,4,4.0,6,6,6.0,0,0
11,1,0,1,4,4,4.0,6,6,6.0,0,0
11,1,0,1,4,4,4.0,6,6,6.0,1,0
11,1,0,1,4,4,4.0,6,6,6.0,0,0
13,1,1,0,5,5,5.0,2,5,3.5,0,0
13,1,1,0,5,5,5.0,2,5,3.5,1,0
13,1,1,0,5,5,5.0,2,5,3.5,0,0
13,1,1,0,5,5,5.0,2,5,3.5,0,0
13,1,1,0,5,5,5.0,2,5,3.5,1,0
13,1,1,0,5,5,5.0,2,5,3.5,0,1
15,1,0,1,6,6,6.0,4,4,4.0,0,0
15,1,0,1,6,6,6.0,4,4,4.0,1,0
15,1,0,1,6,6,6.0,4,4,4.0,0,0
15,1,0,1,6,6,6.0,4,4,4.0,0,0
15,1,0,1,6,6,6.0,4,4,4.0,1,0
15,1,0,1,6,6,6.0,4,4,4.0,0,0
4,1,1,0,2,2,2.0,2,9,5.666666666666667,0,0
4,1,1,0,2,2,2.0,2,9,5.666666666666667,0,0
4,1,1,0,2,2,2.0,2,9,5.666666666666667,1,0
4,1,1,0,2,2,2.0,2,9,5.666666666666667,0,0
4,1,1,0,2,2,2.0,2,9,5.666666666666667,0,0
4,1,1,0,2,2,2.0,2,9,5.666666666666667,1,0
4,1,1,0,2,2,2.0,2,9,5.666666666666667,0,1
4,1,1,0,2,2,2.0,2,9,5.666666666666667,0,0
4,1,1,0,2,2,2.0,2,9,5.666666666666667,0,0
4,1,1,0,2,2,2.0,2,9,5.666666666666667,0,0
4,1,1,0,2,2,2.0,2,9,5.666666666666667,1,0
7,1,0,1,3,3,3.0,5,8,6.5,0,1
7,1,0,1,3,3,3.0,5,8,6.5,0,0
7,1,0,1,3,3,3.0,5,8,6.5,0,0
7,1,0,1,3,3,3.0,5,8,6.5,0,0
7,1,0,1,3,3,3.0,5,8,6.5,1,0
11,1,0,1,4,4,4.0,6,6,6.0,0,0
11,1,0,1,4,4,4.0,6,6,6.0,0,0
11,1,0,1,4,4,4.0,6,6,6.0,0,0
11,1,0,1,4,4,4.0,6,6,6.0,0,0
11,1,0,1,4,4,4.0,6,6,6.0,1,0
15,1,0,1,6,6,6.0,4,4,4.0,0,0
15,1,0,1,6,6,6.0,4,4,4.0,0,1
4,1,1,0,2,2,2.0,2,9,5.666666666666667,0,0
7,1,0,1,3,3,3.0,5,8,6.5,0,0
11,1,0,1,4,4,4.0,6,6,6.0,0,0
15,1,0,1,6,6,6.0,4,4,4.0,0,1
1,1,1,1,0,0,0.0,4,11,8.333333333333334,0,0
2,0,0,0,1,1,1.0,3,10,7.333333333333333,0,0
2,0,0,0,1,1,1.0,3,10,7.333333333333333,0,0
3,1,1,0,4,4,4.0,4,7,5.5,0,0
4,1,1,0,2,2,2.0,2,9,5.666666666666667,0,0
4,1,1,0,2,2,2.0,2,9,5.666666666666667,0,0
4,1,1,0,2,2,2.0,2,9,5.666666666666667,0,0
4,1,1,0,2,2,2.0,2,9,5.666666666666667,0,0
4,1,1,0,2,2,2.0,2,9,5.666666666666667,0,0
4,1,1,0,2,2,2.0,2,9,5.666666666666667,0,0
4,1,1,0,2,2,2.0,2,9,5.666666666666667,0,0
4,1,1,0,2,2,2.0,2,9,5.666666666666667,0,0
4,1,1,0,2,2,2.0,2,9,5.666666666666667,0,0
4,1,1,0,2,2,2.0,2,9,5.666666666666667,0,1
4,1,1,0,2,2,2.0,2,9,5.666666666666667,0,0
4,1,1,0,2,2,2.0,2,9,5.666666666666667,0,0
7,1,0,1,3,3,3.0,5,8,6.5,0,0
7,1,0,1,3,3,3.0,5,8,6.5,0,0
7,1,0,1,3,3,3.0,5,8,6.5,0,1
7,1,0,1,3,3,3.0,5,8,6.5,0,0
7,1,0,1,3,3,3.0,5,8,6.5,0,0
8,0,0,0,2,2,2.0,5,8,7.0,0,0
9,1,1,0,3,3,3.0,4,7,6.0,0,0
9,1,1,0,3,3,3.0,4,7,6.0,0,0
10,0,0,0,5,5,5.0,5,5,5.0,0,0
11,1,0,1,4,4,4.0,6,6,6.0,0,0
11,1,0,1,4,4,4.0,6,6,6.0,0,0
11,1,0,1,4,4,4.0,6,6,6.0,0,0
11,1,0,1,4,4,4.0,6,6,6.0,0,0
11,1,0,1,4,4,4.0,6,6,6.0,0,0
11,1,0,1,4,4,4.0,6,6,6.0,0,0
12,0,0,0,4,4,4.0,3,6,4.5,0,0
13,1,1,0,5,5,5.0,2,5,3.5,0,0
13,1,1,0,5,5,5.0,2,5,3.5,0,0
14,0,0,0,7,7,7.0,3,3,3.0,0,0
15,1,0,1,6,6,6.0,4,4,4.0,0,0
15,1,0,1,6,6,6.0,4,4,4.0,0,0
15,1,0,1,6,6,6.0,4,4,4.0,0,0
2,0,0,0,1,1,1.0,3,10,7.333333333333333,0,0
2,0,0,0,1,1,1.0,3,10,7.333333333333333,0,0
2,0,0,0,1,1,1.0,3,10,7.333333333333333,0,0
2,0,0,0,1,1,1.0,3,10,7.333333333333333,0,0
4,1,1,0,2,2,2.0,2,9,5.666666666666667,0,1
4,1,1,0,2,2,2.0,2,9,5.666666666666667,0,1
4,1,1,0,2,2,2.0,2,9,5.666666666666667,0,0
4,1,1,0,2,2,2.0,2,9,5.666666666666667,0,0
4,1,1,0,2,2,2.0,2,9,5.666666666666667,0,1
4,1,1,0,2,2,2.0,2,9,5.666666666666667,0,0
4,1,1,0,2,2,2.0,2,9,5.666666666666667,0,1
4,1,1,0,2,2,2.0,2,9,5.666666666666667,0,0
4,1,1,0,2,2,2.0,2,9,5.666666666666667,0,0
4,1,1,0,2,2,2.0,2,9,5.666666666666667,0,1
4,1,1,0,2,2,2.0,2,9,5.666666666666667,0,0
4,1,1,0,2,2,2.0,2,9,5.666666666666667,0,0
4,1,1,0,2,2,2.0,2,9,5.666666666666667,0,0
4,1,1,0,2,2,2.0,2,9,5.666666666666667,0,0
4,1,1,0,2,2,2.0,2,9,5.666666666666667,0,0
4,1,1,0,2,2,2.0,2,9,5.666666666666667,0,0
7,1,0,1,3,3,3.0,5,8,6.5,0,0
7,1,0,1,3,3,3.0,5,8,6.5,0,0
7,1,0,1,3,3,3.0,5,8,6.5,0,0
7,1,0,1,3,3,3.0,5,8,6.5,0,0
9,1,1,0,3,3,3.0,4,7,6.0,0,0
9,1,1,0,3,3,3.0,4,7,6.0,0,0
9,1,1,0,3,3,3.0,4,7,6.0,0,0
9,1,1,0,3,3,3.0,4,7,6.0,0,0
11,1,0,1,4,4,4.0,6,6,6.0,0,0
11,1,0,1,4,4,4.0,6,6,6.0,0,0
11,1,0,1,4,4,4.0,6,6,6.0,0,0
11,1,0,1,4,4,4.0,6,6,6.0,0,0
11,1,0,1,4,4,4.0,6,6,6.0,0,0
11,1,0,1,4,4,4.0,6,6,6.0,0,0
13,1,1,0,5,5,5.0,2,5,3.5,0,0
13,1,1,0,5,5,5.0,2,5,3.5,0,0
13,1,1,0,5,5,5.0,2,5,3.5,0,0
13,1,1,0,5,5,5.0,2,5,3.5,0,0
15,1,0,1,6,6,6.0,4,4,4.0,0,0
15,1,0,1,6,6,6.0,4,4,4.0,0,0
15,1,0,1,6,6,6.0,4,4,4.0,0,0
15,1,0,1,6,6,6.0,4,4,4.0,0,0
2,0,0,0,1,1,1.0,3,10,7.333333333333333,0,0
2,0,0,0,1,1,1.0,3,10,7.333333333333333,0,0
4,1,1,0,2,2,2.0,2,9,5.666666666666667,0,0
4,1,1,0,2,2,2.0,2,9,5.666666666666667,0,0
4,1,1,0,2,2,2.0,2,9,5.666666666666667,0,0
4,1,1,0,2,2,2.0,2,9,5.666666666666667,0,1
9,1,1,0,3,3,3.0,4,7,6.0,0,0
9,1,1,0,3,3,3.0,4,7,6.0,0,0
13,1,1,0,5,5,5.0,2,5,3.5,0,0
13,1,1,0,5,5,5.0,2,5,3.5,0,0
