Informação;Número;Total;Percentual
Mutantes minimais;32;104;30.77
Mutantes equivalentes;3;104;2.88
Mutantes nos arcos primitivos;104;104;100.00
Mutantes na origem dos arcos primitivos;92;104;88.46
Mutantes no destino dos arcos primitivos;12;104;11.54

Minimais em arcos primitivos;32;32;100.00
Minimais na origem dos arcos primitivos;32;32;100.00
Minimais no destino dos arcos primitivos;0;32;0.00
Minimais em primitivos ou com origem/destino em primitivos;32;32;100.00
Não Minimais em primitivos ou com origem/destino em primitivos;72;72;100.00
Minimais com nó origem em arcos primitivos;0;32;0.00
Minimais com nó destino em arcos primitivos;32;32;100.00
Equivalentes em arcos primitivos;3;3;100.00
Equivalentes na origem dos arcos primitivos;3;3;100.00
Equivalentes no destino dos arcos primitivos;0;3;0.00
Equivalentes em primitivos ou com origem/destino em primitivos;3;3;100.00
Não equivalentes em primitivos ou com origem/destino em primitivos;101;101;100.00
Equivalentes com nó origem em arcos primitivos;0;3;0.00
Equivalentes com nó destino em arcos primitivos;3;3;100.00